epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,114.734,2.17081,3.9565,1.60775,0.63349,0.52389,0.56991,0.29978,2.1667,2.81819,1.53457,0.0019913,0.0019913,0.0019913
2,196.967,1.97861,2.71639,1.44508,0.68513,0.47691,0.5494,0.28406,2.16407,2.98023,1.58045,0.00399106,0.00399106,0.00399106
3,276.727,2.03756,2.76993,1.46633,0.58418,0.48657,0.51577,0.2699,2.23025,3.1364,1.55206,0.00598983,0.00598983,0.00598983
4,354.257,2.04097,2.77018,1.47145,0.42947,0.34554,0.32132,0.14393,2.7072,4.46012,1.80165,0.00798687,0.00798687,0.00798687
5,432.009,2.20671,3.19141,1.55877,0.4235,0.38137,0.32278,0.14224,2.67002,6.21817,1.89434,0.00998146,0.00998146,0.00998146
6,509.285,2.32922,3.47195,1.64404,0.5716,0.41879,0.42722,0.19917,2.48647,4.05612,1.7708,0.0099846,0.0099846,0.0099846
7,586.801,2.30097,3.34262,1.63458,0.59393,0.52707,0.52752,0.2543,2.33968,4.15624,1.69372,0.00997783,0.00997783,0.00997783
8,664.01,2.22738,3.14406,1.59233,0.57598,0.43869,0.46017,0.21909,2.4802,3.70289,1.74102,0.00996983,0.00996983,0.00996983
9,741.735,2.18123,3.06061,1.57428,0.65538,0.53742,0.59638,0.31422,2.23702,2.9977,1.6088,0.00996061,0.00996061,0.00996061
10,819.732,2.1172,2.93554,1.55081,0.68491,0.55812,0.61576,0.32744,2.16639,2.79859,1.58906,0.00995017,0.00995017,0.00995017
11,897.649,2.09055,2.82168,1.53918,0.68098,0.58758,0.64911,0.35345,2.0866,2.63466,1.54134,0.0099385,0.0099385,0.0099385
12,975.735,2.07816,2.80823,1.53007,0.6804,0.50398,0.57105,0.30003,2.19788,3.0474,1.62629,0.00992562,0.00992562,0.00992562
13,1053.05,2.04963,2.7223,1.51392,0.76485,0.64889,0.72738,0.41821,2.04192,2.24661,1.52792,0.00991152,0.00991152,0.00991152
14,1131.05,2.00865,2.6419,1.49549,0.74018,0.61863,0.6787,0.38071,2.0952,2.65627,1.53238,0.00989622,0.00989622,0.00989622
15,1208.3,1.99732,2.59761,1.48961,0.75081,0.64411,0.71747,0.41417,1.98975,2.27634,1.47667,0.0098797,0.0098797,0.0098797
