epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.1247,1.53548,1.99755,1.64627,0.68896,0.6049,0.65094,0.39092,1.34874,1.28501,1.47938,0.00330065,0.00330065,0.00330065
2,147.612,1.32075,1.19822,1.42214,0.66062,0.53488,0.58721,0.33406,1.58743,1.43935,1.63075,0.0065902,0.0065902,0.0065902
3,216.137,1.42528,1.28813,1.47451,0.15096,0.16662,0.06477,0.02445,2.92191,4.65688,3.34775,0.00983575,0.00983575,0.00983575
4,284.012,1.51483,1.43998,1.57418,0.04194,0.03685,0.01225,0.00648,3.10597,5.49501,3.04172,0.009802,0.009802,0.009802
5,352.445,1.47785,1.36324,1.54554,0.67965,0.51119,0.56946,0.31204,1.64582,1.84409,1.78301,0.009736,0.009736,0.009736
6,420.881,1.40726,1.23566,1.48651,0.67627,0.55804,0.60625,0.34772,1.51921,1.50633,1.68527,0.00967,0.00967,0.00967
7,489.146,1.38371,1.1907,1.47881,0.66878,0.55912,0.61015,0.35077,1.5115,1.45385,1.66559,0.009604,0.009604,0.009604
8,557.374,1.32095,1.12338,1.44272,0.74785,0.65581,0.72685,0.44852,1.36726,1.1759,1.52578,0.009538,0.009538,0.009538
9,626.365,1.29379,1.07244,1.43068,0.73816,0.66266,0.72883,0.45364,1.34555,1.11698,1.51864,0.009472,0.009472,0.009472
10,695.378,1.27605,1.04354,1.42421,0.57796,0.42985,0.45836,0.25273,1.65496,1.83439,1.73036,0.009406,0.009406,0.009406
11,763.551,1.23818,0.98139,1.39273,0.68296,0.62253,0.66654,0.38912,1.45459,1.36189,1.6166,0.00934,0.00934,0.00934
12,831.577,1.21723,0.9624,1.37445,0.80692,0.72827,0.80679,0.52987,1.21104,0.90305,1.3995,0.009274,0.009274,0.009274
13,900.288,1.19052,0.92804,1.35529,0.78208,0.68992,0.7705,0.50708,1.26129,0.98878,1.4358,0.009208,0.009208,0.009208
14,968.804,1.17962,0.91556,1.36066,0.7725,0.69988,0.75969,0.48279,1.29216,1.02487,1.45159,0.009142,0.009142,0.009142
